rank,model,repeat,fold,configuration_number,configuration_id,batch_size,head_learning_rate,fine_tune_learning_rate,selected_stage,selected_epoch,selected_validation_loss,stage_1_best_epoch,stage_1_best_validation_loss,stage_2_best_epoch,stage_2_best_validation_loss,internal_accuracy,internal_balanced_accuracy,internal_macro_precision,internal_macro_recall,internal_macro_f1,internal_log_loss,stage_1_training_seconds,stage_2_training_seconds,total_candidate_seconds,trainable_backbone_layers
1,EfficientNetB0,9,3,5,config_05_bs16_headlr1e-03_ftlr1e-05,16,0.001,1e-05,fine_tuning,18,0.14413653314113617,15,0.20780038833618164,18,0.14413653314113617,0.9575892857142857,0.9575892857142857,0.9586073353060176,0.9575892857142857,0.9578111729134747,0.14413651108628084,81.59000796599958,116.7317829399999,201.8470604109998,13
2,EfficientNetB0,9,3,3,config_03_bs8_headlr3e-04_ftlr1e-05,8,0.0003,1e-05,fine_tuning,19,0.1379423290491104,14,0.24249966442584991,19,0.1379423290491104,0.9553571428571429,0.9553571428571429,0.9555098499439441,0.9553571428571429,0.955385347647739,0.13794234789289467,125.80716331900021,182.94417565500044,312.41357858100037,13
3,EfficientNetB0,9,3,1,config_01_bs8_headlr1e-03_ftlr1e-05,8,0.001,1e-05,fine_tuning,19,0.14428995549678802,14,0.19453215599060059,19,0.14428995549678802,0.9508928571428571,0.9508928571428572,0.9511810567818952,0.9508928571428572,0.9509898028509878,0.14428993481794034,128.4705693040005,202.8177543109996,335.00964835099967,13
4,EfficientNetB0,9,3,9,config_09_bs32_headlr1e-03_ftlr1e-05,32,0.001,1e-05,fine_tuning,19,0.15657898783683777,14,0.22156165540218353,19,0.15657898783683777,0.9464285714285714,0.9464285714285714,0.9469973388706201,0.9464285714285714,0.9465906236241988,0.1565789871656291,66.05984130200159,90.3382032949994,159.79621899499944,13
5,EfficientNetB0,9,3,2,config_02_bs8_headlr1e-03_ftlr3e-06,8,0.001,3e-06,fine_tuning,19,0.15977537631988525,14,0.19453215599060059,19,0.15977537631988525,0.9419642857142857,0.9419642857142857,0.9427433958683958,0.9419642857142857,0.9421650493087894,0.15977537941548142,124.26012497500051,185.5495313800002,313.9496944680004,13
6,EfficientNetB0,9,3,6,config_06_bs16_headlr1e-03_ftlr3e-06,16,0.001,3e-06,fine_tuning,18,0.17174744606018066,15,0.20780038833618164,18,0.17174744606018066,0.9375,0.9375,0.9379546594649569,0.9375,0.9375880510161938,0.17174745480365328,81.73789866299921,115.98067755300053,201.67545487000007,13
7,EfficientNetB0,9,3,7,config_07_bs16_headlr3e-04_ftlr1e-05,16,0.0003,1e-05,fine_tuning,18,0.16737540066242218,15,0.2605704665184021,18,0.16737540066242218,0.9352678571428571,0.9352678571428571,0.9355185701883596,0.9352678571428571,0.935325144409931,0.16737540628893724,82.19881240599989,115.69673288800004,201.74126878199968,13
8,EfficientNetB0,9,3,10,config_10_bs32_headlr1e-03_ftlr3e-06,32,0.001,3e-06,fine_tuning,19,0.19016583263874054,14,0.22156165540218353,19,0.19016583263874054,0.9330357142857143,0.9330357142857143,0.9336407553798858,0.9330357142857143,0.9331615957166618,0.1901658162158681,65.77997623699957,90.18497607300014,159.33785447300033,13
9,EfficientNetB0,9,3,11,config_11_bs32_headlr3e-04_ftlr1e-05,32,0.0003,1e-05,fine_tuning,19,0.18327054381370544,15,0.289061576128006,19,0.18327054381370544,0.9330357142857143,0.9330357142857143,0.9331582817821349,0.9330357142857143,0.9329287661927942,0.18327051708491832,67.24482473700118,91.49540093399992,162.14705949199924,13
10,EfficientNetB0,9,3,4,config_04_bs8_headlr3e-04_ftlr3e-06,8,0.0003,3e-06,fine_tuning,19,0.18678824603557587,14,0.24249966442584991,19,0.18678824603557587,0.9285714285714286,0.9285714285714285,0.9289132547975928,0.9285714285714285,0.9286468830379576,0.186788246149199,125.8186270289998,183.89033504399958,313.4295546680005,13
11,EfficientNetB0,9,3,8,config_08_bs16_headlr3e-04_ftlr3e-06,16,0.0003,3e-06,fine_tuning,20,0.20545433461666107,15,0.2605704665184021,20,0.20545433461666107,0.9241071428571429,0.9241071428571429,0.9241162458558825,0.9241071428571429,0.9240645697485255,0.20545433671446395,82.72014252600002,117.8325902760007,204.03599119400042,13
12,EfficientNetB0,9,3,12,config_12_bs32_headlr3e-04_ftlr3e-06,32,0.0003,3e-06,fine_tuning,20,0.23260760307312012,15,0.289061576128006,20,0.23260760307312012,0.9241071428571429,0.9241071428571428,0.9239391821288373,0.9241071428571428,0.9239217681216738,0.23260761623958312,67.85727417599992,94.22259651700006,165.4657014150016,13
