iter,n_resources,rank_test_score,candidate_id,mean_test_score,std_test_score,total_fit_seconds,inner_folds_completed,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
1,75,1,92,0.8968791428479096,0.010600542042565445,18.224809988001653,3,gini,20.0,5,2,0.1,False
1,75,2,78,0.8967407534552749,0.005517751850664991,9.320764748998045,3,gini,,5,2,0.05,False
1,75,3,28,0.8966452852800096,0.006192878266256739,40.03063517899864,3,gini,80.0,2,1,0.2,False
1,75,4,7,0.8961378890678168,0.0062299014509844125,22.72439970599953,3,entropy,40.0,5,1,0.1,False
1,75,5,63,0.8961378890678168,0.0062299014509844125,23.00568770099926,3,entropy,,5,1,0.1,False
1,75,6,18,0.8957193104789997,0.009264851874223089,18.114150913999765,3,gini,40.0,10,2,0.1,False
1,75,7,89,0.8955163985463029,0.00734882615892573,44.359257547002926,3,entropy,40.0,10,1,0.2,False
1,75,8,74,0.8947261164123707,0.011189238469608941,22.52092809700116,3,entropy,,10,1,0.1,False
1,75,9,8,0.8945192722316208,0.007298110953807557,43.04640955799914,3,entropy,80.0,10,4,0.2,False
1,75,10,84,0.8940275715669704,0.006555611832337067,19.49228282000331,3,gini,,10,1,0.1,False
1,75,11,96,0.8937318259331614,0.009329647913726228,16.973701298004016,3,gini,20.0,5,4,0.1,False
1,75,12,2,0.8927695090285925,0.013969907125704348,21.947536244999355,3,entropy,,2,4,0.1,False
