candidate_id,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
1,gini,80.0,20,1,0.02,True
2,gini,,2,2,sqrt,True
3,gini,40.0,5,2,0.1,True
4,gini,,10,8,0.2,True
5,entropy,20.0,2,8,log2,True
6,entropy,80.0,10,4,log2,True
7,gini,20.0,2,4,0.1,True
8,gini,40.0,10,4,sqrt,False
9,gini,40.0,2,1,0.1,False
10,entropy,80.0,20,8,sqrt,True
11,entropy,60.0,10,1,0.2,True
12,entropy,40.0,5,4,sqrt,False
13,gini,40.0,5,1,0.2,False
14,entropy,80.0,10,8,0.05,True
15,gini,40.0,10,1,0.05,True
16,gini,60.0,20,1,log2,False
17,entropy,80.0,10,2,sqrt,False
18,gini,60.0,5,2,sqrt,True
19,gini,,2,4,0.2,True
20,gini,20.0,10,4,0.1,False
21,entropy,20.0,5,8,0.2,False
22,gini,,5,1,log2,True
23,gini,,5,1,0.02,True
24,entropy,80.0,20,1,log2,True
25,entropy,80.0,2,1,0.05,True
26,gini,40.0,20,1,0.05,False
27,entropy,,20,4,0.02,False
28,entropy,80.0,2,2,sqrt,False
29,entropy,20.0,5,8,0.2,True
30,entropy,20.0,20,2,0.2,False
31,gini,20.0,20,4,0.02,False
32,gini,20.0,2,1,log2,False
33,entropy,80.0,20,1,0.1,False
34,gini,80.0,5,4,log2,False
35,gini,40.0,5,4,0.05,True
36,gini,,20,1,0.2,False
37,gini,80.0,2,2,0.05,True
38,entropy,80.0,20,1,log2,False
39,entropy,80.0,2,8,sqrt,False
40,entropy,60.0,20,8,0.02,True
41,gini,60.0,2,2,0.02,True
42,entropy,60.0,20,8,0.2,True
43,entropy,20.0,2,2,0.2,True
44,entropy,40.0,2,1,log2,True
45,gini,40.0,10,8,0.1,False
46,entropy,20.0,20,8,log2,True
47,entropy,60.0,5,8,0.2,True
48,entropy,60.0,2,4,sqrt,True
49,entropy,,20,8,0.02,True
50,entropy,,20,8,0.1,True
51,gini,40.0,5,1,0.2,True
52,gini,20.0,2,2,0.2,True
53,entropy,,5,8,0.1,True
54,entropy,,2,1,0.2,True
55,gini,20.0,2,4,log2,False
56,entropy,80.0,2,8,log2,False
57,gini,,20,2,0.05,False
58,entropy,,2,1,0.1,True
59,gini,20.0,5,8,0.05,False
60,gini,20.0,10,1,log2,True
61,gini,,10,2,0.05,True
62,entropy,40.0,10,4,log2,True
63,entropy,20.0,20,1,0.05,False
64,entropy,80.0,5,1,0.02,True
65,entropy,60.0,2,4,log2,False
66,gini,60.0,10,2,log2,True
67,gini,,2,4,sqrt,False
68,entropy,60.0,5,4,0.02,False
69,entropy,60.0,5,8,sqrt,False
70,entropy,60.0,5,2,0.02,False
71,gini,40.0,20,1,0.2,False
72,gini,80.0,10,8,0.2,True
73,gini,60.0,2,1,0.05,False
74,gini,20.0,2,8,log2,False
75,gini,,20,2,0.2,True
76,entropy,40.0,20,2,0.1,False
77,gini,80.0,10,2,0.02,True
78,entropy,80.0,2,4,log2,True
79,entropy,40.0,5,4,0.1,False
80,gini,40.0,5,8,sqrt,True
81,entropy,60.0,10,8,0.2,True
82,entropy,20.0,10,2,0.1,False
83,entropy,20.0,5,4,sqrt,False
84,gini,60.0,5,1,sqrt,False
85,gini,40.0,10,8,0.1,True
86,entropy,20.0,20,4,0.2,False
87,entropy,60.0,2,4,0.1,True
88,entropy,,2,2,0.1,True
89,gini,,10,1,0.05,True
90,entropy,20.0,5,1,0.1,False
91,entropy,20.0,20,4,0.02,False
92,entropy,40.0,20,2,sqrt,True
93,gini,,20,8,log2,False
94,entropy,40.0,5,8,0.1,True
95,gini,80.0,5,8,0.05,False
96,gini,80.0,10,2,sqrt,False
97,entropy,80.0,20,4,0.05,True
98,gini,,10,8,0.02,True
99,gini,20.0,20,1,0.02,True
100,gini,80.0,5,2,log2,True
