rank,model,repeat,fold,configuration_number,configuration_id,batch_size,head_learning_rate,fine_tune_learning_rate,selected_stage,selected_epoch,selected_validation_loss,stage_1_best_epoch,stage_1_best_validation_loss,stage_2_best_epoch,stage_2_best_validation_loss,internal_accuracy,internal_balanced_accuracy,internal_macro_precision,internal_macro_recall,internal_macro_f1,internal_log_loss,stage_1_training_seconds,stage_2_training_seconds,total_candidate_seconds,trainable_backbone_layers
1,ResNet50,1,3,5,config_05_bs16_headlr1e-03_ftlr1e-05,16,0.001,1e-05,fine_tuning,5,0.10760905593633652,14,0.14398565888404846,5,0.10760905593633652,0.9732142857142857,0.9732142857142858,0.9737697210757554,0.9732142857142858,0.973368763615357,0.10760906892968693,88.78122950599936,66.56819767699926,159.28032157599955,23
2,ResNet50,1,3,11,config_11_bs32_headlr3e-04_ftlr1e-05,32,0.0003,1e-05,fine_tuning,8,0.10062921792268753,14,0.1887061446905136,8,0.10062921792268753,0.96875,0.96875,0.9689453600714459,0.96875,0.9687883358471594,0.10062923656719103,71.6581463270013,67.84856190299979,143.47680532699997,23
3,ResNet50,1,3,12,config_12_bs32_headlr3e-04_ftlr3e-06,32,0.0003,3e-06,fine_tuning,8,0.11150013655424118,14,0.1887061446905136,8,0.11150013655424118,0.96875,0.9687500000000001,0.968623974709501,0.9687500000000001,0.968648741187458,0.11150014127478577,71.91957292400002,68.17678101099955,143.65513438799826,23
4,ResNet50,1,3,1,config_01_bs8_headlr1e-03_ftlr1e-05,8,0.001,1e-05,fine_tuning,7,0.10625646263360977,6,0.14668606221675873,7,0.10625646263360977,0.9665178571428571,0.9665178571428572,0.9666178877770631,0.9665178571428572,0.9664431938996398,0.10625647422775335,74.13556706799955,117.6217382269997,209.4895961029997,23
5,ResNet50,1,3,6,config_06_bs16_headlr1e-03_ftlr3e-06,16,0.001,3e-06,fine_tuning,4,0.11211910098791122,14,0.14398565888404846,4,0.11211910098791122,0.9642857142857143,0.9642857142857142,0.9644207742706609,0.9642857142857142,0.9642841920067323,0.11211911386283673,86.76533643499897,59.63220633899982,150.07181902500088,23
6,ResNet50,1,3,7,config_07_bs16_headlr3e-04_ftlr1e-05,16,0.0003,1e-05,fine_tuning,4,0.10372258722782135,14,0.17613156139850616,4,0.10372258722782135,0.9642857142857143,0.9642857142857143,0.9644339228935985,0.9642857142857143,0.96426294124808,0.10372259320207698,89.4842425780007,60.449235465999664,153.5023344579986,23
7,ResNet50,1,3,10,config_10_bs32_headlr1e-03_ftlr3e-06,32,0.001,3e-06,fine_tuning,9,0.11148329079151154,14,0.15187124907970428,9,0.11148329079151154,0.9642857142857143,0.9642857142857143,0.9641180368241384,0.9642857142857143,0.9641541140330775,0.1114832962929968,69.07134717400004,71.63041782800065,144.25523487899954,23
8,ResNet50,1,3,4,config_04_bs8_headlr3e-04_ftlr3e-06,8,0.0003,3e-06,fine_tuning,4,0.11041661351919174,12,0.16110487282276154,4,0.11041661351919174,0.9620535714285714,0.9620535714285715,0.9619476846537862,0.9620535714285715,0.9619523607102479,0.11041660713227322,121.5366326580006,83.12601695699959,222.65750168200066,23
9,ResNet50,1,3,9,config_09_bs32_headlr1e-03_ftlr1e-05,32,0.001,1e-05,fine_tuning,9,0.09773539751768112,14,0.15187124907970428,9,0.09773539751768112,0.9620535714285714,0.9620535714285715,0.9618397741430788,0.9620535714285715,0.9618801662938831,0.09773541396664752,69.08580919300039,71.3922302739993,144.02648739799952,23
10,ResNet50,1,3,3,config_03_bs8_headlr3e-04_ftlr1e-05,8,0.0003,1e-05,fine_tuning,3,0.10490579158067703,12,0.16110487282276154,3,0.10490579158067703,0.9598214285714286,0.9598214285714285,0.9598950534318667,0.9598214285714285,0.9597896057106755,0.10490578294803117,117.55120431799969,71.90175704400008,193.20779720500013,23
11,ResNet50,1,3,2,config_02_bs8_headlr1e-03_ftlr3e-06,8,0.001,3e-06,fine_tuning,3,0.1119006872177124,6,0.14668606221675873,3,0.1119006872177124,0.9598214285714286,0.9598214285714286,0.9597352952732552,0.9598214285714286,0.9597301384880257,0.11190069775639049,74.75275803999921,72.20295961000011,151.6715326579997,23
12,ResNet50,1,3,8,config_08_bs16_headlr3e-04_ftlr3e-06,16,0.0003,3e-06,fine_tuning,4,0.11278409510850906,14,0.17613156139850616,4,0.11278409510850906,0.9575892857142857,0.9575892857142857,0.9580714005746279,0.9575892857142857,0.9576527937025191,0.11278409179884255,89.51635461799924,59.069840770000155,152.22005134500068,23
