iter,n_resources,rank_test_score,candidate_id,mean_test_score,std_test_score,total_fit_seconds,inner_folds_completed,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
2,225,1,17,0.9036759796592633,0.013181394233062325,832.3582662779991,3,gini,60.0,2,1,0.2,False
2,225,2,22,0.9024226177457505,0.012435679229961284,846.1295293069998,3,gini,60.0,5,1,0.2,False
2,225,3,82,0.9014729958171751,0.008478978539409479,917.5577153079994,3,entropy,,5,1,0.2,False
2,225,4,42,0.9001906746367313,0.007272719630926683,468.85780751399943,3,entropy,60.0,10,1,0.1,False
2,225,5,66,0.8999624650200403,0.011856826554403165,417.9945410149994,3,gini,40.0,10,1,0.1,False
2,225,6,36,0.8998846137680644,0.014397576372974192,804.5695206670007,3,gini,40.0,5,2,0.2,False
2,225,7,27,0.8989307588992687,0.010736358148128474,451.10954844700245,3,entropy,80.0,5,4,0.1,False
2,225,8,53,0.8989307588992687,0.010736358148128474,456.1020165050031,3,entropy,20.0,2,4,0.1,False
2,225,9,57,0.8978354421785092,0.009788478375251389,729.002748973,3,gini,80.0,5,4,0.2,False
2,225,10,56,0.897120532562139,0.008679595740317188,913.4054801120001,3,entropy,60.0,10,2,0.2,False
2,225,11,60,0.897120532562139,0.008679595740317188,902.5746654540017,3,entropy,,10,2,0.2,False
2,225,12,34,0.8963297186405237,0.01365402115138615,828.8245044210016,3,gini,40.0,20,1,0.2,False
