candidate_id,mean_inner_macro_f1,sd_inner_macro_f1,total_fit_seconds,completed_inner_folds,stage,n_estimators,rank
42,0.8369461151239362,0.02089900651594288,88.17969719998655,3,2,75,1
55,0.8360239842500105,0.013447856693361442,41.303700199991,3,2,75,2
60,0.8360239842500105,0.013447856693361442,41.37457150002592,3,2,75,3
67,0.8359730912606912,0.013914844039544362,42.92745039999136,3,2,75,4
77,0.833590158696199,0.011717535827103267,64.46917759999633,3,2,75,5
25,0.8332654585016828,0.01158255723420588,130.70367639997858,3,2,75,6
43,0.8320951095078982,0.01061379481311534,62.948942799994256,3,2,75,7
88,0.8318533215716714,0.01973138650795636,125.35372139999527,3,2,75,8
89,0.8317736937567805,0.018226405300142762,125.76557559997309,3,2,75,9
8,0.8316595802268164,0.009797965057777155,172.09003839999787,3,2,75,10
3,0.8316232066541257,0.01562639666678432,128.65585409998312,3,2,75,11
85,0.8306070197559116,0.010902480848787517,168.49223340000026,3,2,75,12
91,0.8304183336608051,0.016150961101402777,81.56923780002398,3,2,75,13
79,0.8283476417141836,0.01328688438369256,258.98632799999905,3,2,75,14
95,0.8283461352901528,0.007986340250553186,11.76302279997617,3,2,75,15
82,0.828120519142097,0.008213400651271938,11.995557499991264,3,2,75,16
68,0.8273365630973845,0.013963999273469616,246.96714049996808,3,2,75,17
23,0.8261856544067746,0.012895435798389114,62.36942829997861,3,2,75,18
96,0.8258918799763538,0.011314529797834028,249.13084009996965,3,2,75,19
34,0.8246662503655887,0.01645240680903296,127.59312989999307,3,2,75,20
46,0.8244283289111722,0.012859678898540164,28.439555899996776,3,2,75,21
31,0.8238561539464873,0.011460112100897165,28.36594519999926,3,2,75,22
4,0.8234026983788496,0.010934158882367574,264.5174279999919,3,2,75,23
18,0.8234026983788496,0.010934158882367574,257.82209629996214,3,2,75,24
48,0.8234026983788496,0.010934158882367574,259.0800606000121,3,2,75,25
94,0.8230705537526548,0.018502708118902575,66.30296480003744,3,2,75,26
27,0.8226043107865385,0.01225466941917462,163.20664309998392,3,2,75,27
19,0.8211624380420952,0.014975606268855397,259.0624603999895,3,2,75,28
40,0.8204235484113959,0.012292064131579095,258.0549993000168,3,2,75,29
37,0.8196273589348624,0.008300418363075325,153.1845345000038,3,2,75,30
69,0.8196273589348624,0.008300418363075325,154.506838900008,3,2,75,31
64,0.8176893970134301,0.03178823808077283,10.279698099999223,3,2,75,32
2,0.8137868118553208,0.015382249763079558,50.728930800018134,3,2,75,33
81,0.8106919949345824,0.016270796492722412,26.725788900017506,3,2,75,34
