stage,n_estimators,rank,candidate_id,mean_macro_f1,sd_macro_f1,total_fit_seconds,inner_folds_completed,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
3,225,1,63,0.8389307218952312,0.011169374338910744,118.02622650002013,3,gini,,2,2,0.05,False
3,225,2,89,0.8385281867550386,0.00761746963344049,46.8295392,3,gini,,10,2,0.02,False
3,225,3,5,0.8355391294046717,0.010414769350628425,344.92959189999965,3,entropy,80.0,2,4,0.1,False
3,225,4,7,0.8347646794682175,0.0033119582917278114,46.42354269998032,3,gini,80.0,20,2,0.02,False
3,225,5,69,0.8341706656618536,0.014943437867841448,732.988498199993,3,entropy,20.0,2,1,0.2,False
3,225,6,83,0.8338212338557772,0.011274126707420768,233.89055249997182,3,gini,20.0,10,1,0.1,False
3,225,7,4,0.8334722813596792,0.012053569781707872,730.2985391000111,3,entropy,20.0,5,1,0.2,False
3,225,8,24,0.8332087526910246,0.016876366310161796,720.8595507999707,3,entropy,,10,1,0.2,False
3,225,9,95,0.8327009998197873,0.01231040898565373,184.70422859999235,3,entropy,20.0,20,1,0.05,False
3,225,10,42,0.8322422275324167,0.0120653392893262,230.80290869998862,3,gini,40.0,20,2,0.1,False
3,225,11,1,0.8319155110761735,0.014111404951183109,728.0316505999945,3,entropy,40.0,5,2,0.2,False
3,225,12,46,0.8314008382565318,0.01114192008588399,222.22518649997073,3,gini,,5,4,0.1,False
