stage,n_estimators,rank,candidate_id,mean_macro_f1,sd_macro_f1,total_fit_seconds,inner_folds_completed,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
1,25,1,10,0.8202552562697364,0.0033577761009263,65.12711659999331,3,gini,60.0,5,1,0.2,False
1,25,2,84,0.8188738753251824,0.010471981963303,49.87359050003579,3,entropy,80.0,5,1,0.1,False
1,25,3,58,0.8187485369089683,0.0004987730863017,89.6874673999846,3,entropy,80.0,2,4,0.2,False
1,25,4,14,0.8173383820932365,0.0055442305887343,97.78332009998849,3,entropy,40.0,5,2,0.2,False
1,25,5,7,0.8164693537417297,0.0022247903995141,15.524683300056497,3,gini,40.0,2,8,0.05,False
1,25,6,49,0.8156946161004762,0.0117475241706246,30.574007499963045,3,gini,,5,2,0.1,False
1,25,7,100,0.815508975541413,0.005783366971592,15.534109699947294,3,gini,80.0,20,2,0.05,False
1,25,8,66,0.8139570211981138,0.0028578828383596,47.43297049996909,3,entropy,80.0,2,4,0.1,False
1,25,9,98,0.8139570211981138,0.0028578828383596,45.67998969997279,3,entropy,60.0,5,4,0.1,False
1,25,10,36,0.813614890673727,0.0070390364175567,30.09526289999485,3,gini,20.0,5,2,0.1,False
1,25,11,31,0.8124380918917665,0.0085446533387842,60.87445449992083,3,gini,20.0,10,2,0.2,False
1,25,12,21,0.8116469167315866,0.0099014584734761,89.64220200001728,3,entropy,20.0,20,2,0.2,False
1,25,13,6,0.8109872242387614,0.0036864454917028,16.8275628000265,3,gini,40.0,10,1,0.05,False
1,25,14,47,0.8098636245561943,0.0070453671850778,62.00801039999351,3,gini,40.0,20,2,0.2,False
1,25,15,9,0.8097130672575886,0.0019556217636455,6.327194000012241,3,gini,40.0,5,4,0.02,False
1,25,16,15,0.8097130672575886,0.0019556217636455,6.183198099955916,3,gini,60.0,2,4,0.02,False
1,25,17,26,0.8097130672575886,0.0019556217636455,6.111516700009815,3,gini,80.0,2,4,0.02,False
1,25,18,35,0.8093860497736237,0.0107925327085432,6.617579900077544,3,gini,60.0,5,1,0.02,False
1,25,19,65,0.8092394534676276,0.0111615764415618,18.68237119994592,3,gini,40.0,5,2,0.1,True
1,25,20,3,0.8085218385879714,0.002856428563052,62.540997099888045,3,gini,40.0,5,4,0.2,False
1,25,21,55,0.8077180217575995,0.0073659169196119,14.028799599967895,3,gini,20.0,2,4,0.05,False
1,25,22,17,0.8074639800550614,0.0088982072361801,15.605714400007855,3,gini,60.0,2,2,0.05,False
1,25,23,97,0.805024190200769,0.003566853373691,53.08851800003322,3,gini,60.0,20,8,0.2,False
1,25,24,16,0.804167989618001,0.0063271090076441,28.952794099983294,3,entropy,40.0,10,1,0.1,True
1,25,25,2,0.8035053081919267,0.0109114597524162,32.24102909991052,3,gini,80.0,10,8,0.2,True
1,25,26,85,0.8035053081919267,0.0109114597524162,32.5374257999938,3,gini,,2,8,0.2,True
1,25,27,30,0.8029103083185967,0.0152998661516905,4.12466900004074,3,gini,,10,4,sqrt,False
1,25,28,4,0.8026886245236803,0.00913262559717,39.1317330999882,3,gini,40.0,5,1,0.2,True
1,25,29,8,0.8026886245236803,0.00913262559717,41.44684350001626,3,gini,,5,1,0.2,True
1,25,30,70,0.8015149066389923,0.013349454091776,18.036663299950305,3,gini,60.0,20,2,0.1,True
1,25,31,27,0.801244018180744,0.0101400147341409,33.92463989998214,3,gini,20.0,5,4,0.2,True
1,25,32,43,0.8010018689930276,0.0060534081373166,9.551867200003471,3,entropy,20.0,10,8,0.02,False
1,25,33,94,0.8010018689930276,0.0060534081373166,9.569110200041903,3,entropy,60.0,2,8,0.02,False
1,25,34,37,0.8006466855053933,0.0094218431309484,51.89573839999503,3,gini,40.0,5,8,0.2,False
1,25,35,62,0.8001044885908498,0.006692189548815,7.124706099973992,3,entropy,20.0,5,2,sqrt,False
1,25,36,67,0.799566478598115,0.0034398123073768,10.59727450000355,3,entropy,,20,2,0.02,False
1,25,37,50,0.7994152003155607,0.0102268531419685,5.693116300040856,3,gini,,2,8,0.02,False
1,25,38,71,0.7994152003155607,0.0102268531419685,5.695563099987339,3,gini,40.0,2,8,0.02,False
1,25,39,68,0.7983394318914864,0.0017729146968827,6.841400399920531,3,entropy,20.0,2,4,sqrt,False
1,25,40,28,0.7980559327751879,0.0017132325870376,6.82057680003345,3,entropy,60.0,2,4,sqrt,False
1,25,41,39,0.7980559327751879,0.0017132325870376,6.851842499978375,3,entropy,60.0,5,4,sqrt,False
1,25,42,54,0.7980559327751879,0.0017132325870376,6.805777800036594,3,entropy,,5,4,sqrt,False
1,25,43,19,0.7973609857857681,0.0075372986295455,7.054355000029318,3,entropy,,5,1,sqrt,False
1,25,44,63,0.7971197454122082,0.0108385110122337,9.626615599961951,3,gini,40.0,20,2,0.05,True
1,25,45,51,0.7969467805168134,0.0154214457349352,10.63474219996715,3,entropy,20.0,2,2,0.02,False
1,25,46,77,0.7965452826176875,0.0058540245290461,57.18547630001558,3,entropy,40.0,20,1,0.2,True
1,25,47,22,0.7963030394091932,0.0010647699320299,26.950013400055468,3,entropy,60.0,2,4,0.1,True
