candidate_id,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
1,gini,60.0,10,1,0.1,False
2,entropy,80.0,10,4,log2,False
3,gini,80.0,10,1,sqrt,False
4,gini,80.0,10,1,0.02,True
5,entropy,60.0,5,8,0.2,True
6,entropy,20.0,5,1,sqrt,False
7,entropy,60.0,10,2,log2,True
8,entropy,40.0,10,1,0.1,False
9,gini,,20,1,sqrt,False
10,entropy,80.0,20,8,sqrt,True
11,gini,40.0,2,8,log2,False
12,gini,,2,4,0.05,False
13,entropy,40.0,2,2,0.1,False
14,gini,80.0,20,1,0.02,True
15,gini,20.0,20,8,0.02,False
16,entropy,20.0,2,1,log2,False
17,gini,,5,1,log2,True
18,entropy,40.0,20,4,0.05,False
19,gini,80.0,20,8,0.02,False
20,entropy,,10,2,0.1,True
21,entropy,60.0,2,4,0.02,True
22,gini,,2,4,0.2,True
23,gini,60.0,20,4,0.02,False
24,entropy,20.0,2,8,sqrt,True
25,entropy,60.0,20,1,0.1,False
26,entropy,,10,8,0.05,False
27,entropy,80.0,2,4,0.02,True
28,gini,,2,8,0.02,False
29,gini,40.0,2,8,sqrt,True
30,entropy,20.0,10,4,0.1,True
31,gini,60.0,10,8,0.2,False
32,entropy,60.0,20,4,0.02,True
33,entropy,40.0,5,4,0.02,False
34,gini,60.0,20,1,0.05,True
35,entropy,,20,2,0.02,False
36,entropy,40.0,5,8,0.02,False
37,entropy,20.0,10,8,log2,True
38,gini,80.0,10,2,log2,True
39,gini,40.0,20,2,sqrt,True
40,gini,40.0,20,2,0.02,True
41,entropy,80.0,2,4,sqrt,False
42,entropy,40.0,5,8,0.1,False
43,entropy,,5,4,log2,True
44,entropy,80.0,2,8,0.1,False
45,gini,80.0,20,4,0.02,True
46,entropy,80.0,2,2,log2,False
47,gini,60.0,5,4,log2,False
48,entropy,60.0,2,4,0.2,False
49,entropy,,5,1,0.1,True
50,entropy,,5,8,0.2,True
51,gini,80.0,5,4,sqrt,True
52,gini,80.0,5,2,0.02,True
53,gini,20.0,10,1,0.02,False
54,entropy,,5,2,log2,True
55,entropy,,20,2,log2,True
56,entropy,40.0,5,8,0.05,True
57,entropy,20.0,10,8,0.02,True
58,entropy,60.0,2,4,sqrt,True
59,entropy,40.0,20,1,sqrt,True
60,gini,,5,8,0.2,True
61,gini,,10,2,0.05,False
62,entropy,80.0,20,4,0.02,True
63,gini,20.0,5,1,0.2,False
64,entropy,60.0,2,1,0.05,True
65,entropy,60.0,5,4,0.2,True
66,gini,,5,2,0.05,True
67,gini,20.0,20,8,0.05,True
68,gini,80.0,10,2,log2,False
69,gini,20.0,10,4,0.2,False
70,entropy,80.0,20,1,0.1,True
71,gini,20.0,2,2,0.2,False
72,gini,20.0,5,8,0.2,True
73,entropy,40.0,10,1,0.2,False
74,entropy,80.0,10,4,0.02,True
75,entropy,60.0,20,2,sqrt,True
76,entropy,40.0,5,1,0.2,True
77,gini,,2,2,sqrt,True
78,gini,60.0,20,8,sqrt,False
79,gini,40.0,2,8,0.1,True
80,gini,60.0,20,8,0.2,True
81,entropy,40.0,10,8,sqrt,True
82,gini,40.0,2,4,0.2,True
83,gini,60.0,2,4,0.02,False
84,gini,40.0,2,4,sqrt,True
85,gini,80.0,10,1,0.1,False
86,gini,80.0,20,8,log2,False
87,gini,60.0,2,1,0.05,False
88,entropy,40.0,20,8,log2,False
89,gini,,5,2,0.2,False
90,gini,40.0,2,4,log2,True
91,entropy,80.0,5,2,0.05,True
92,gini,,2,1,0.2,True
93,entropy,80.0,20,2,0.2,False
94,entropy,40.0,5,8,0.02,True
95,entropy,80.0,20,8,0.1,True
96,entropy,80.0,5,1,0.02,True
97,entropy,,20,4,0.02,True
98,entropy,40.0,20,8,0.2,True
99,gini,40.0,10,2,log2,True
100,gini,80.0,5,2,0.05,True
