model,repeat,fold,outer_split_seed,inner_cv_seed,outer_training_samples,outer_validation_samples,best_C,best_gamma,best_inner_macro_f1,outer_accuracy,outer_balanced_accuracy,outer_macro_precision,outer_macro_recall,outer_macro_f1
HOG-GLCM + SVM,1,1,202601,303101,4480,1120,10.0,scale,0.885260867932582,0.9196428571428571,0.9196428571428572,0.920552812431383,0.9196428571428572,0.919741743962103
HOG-GLCM + SVM,1,2,202601,303102,4480,1120,10.0,scale,0.8904067805217468,0.9098214285714286,0.9098214285714287,0.9094450046412589,0.9098214285714287,0.9092569371455849
HOG-GLCM + SVM,1,3,202601,303103,4480,1120,10.0,scale,0.8918779784005211,0.9008928571428572,0.9008928571428573,0.9020972715051663,0.9008928571428573,0.9011079802609362
HOG-GLCM + SVM,1,4,202601,303104,4480,1120,10.0,scale,0.8851893487497815,0.9303571428571429,0.9303571428571429,0.930114870098798,0.9303571428571429,0.930009477790349
HOG-GLCM + SVM,1,5,202601,303105,4480,1120,10.0,scale,0.8914477135740411,0.9035714285714286,0.9035714285714287,0.9057297388006171,0.9035714285714287,0.9040212193221464
HOG-GLCM + SVM,2,1,202602,303201,4480,1120,10.0,0.0001,0.8861546038239436,0.9214285714285714,0.9214285714285715,0.9221539668722661,0.9214285714285715,0.9214467144452858
HOG-GLCM + SVM,2,2,202602,303202,4480,1120,10.0,scale,0.8963909202177245,0.9,0.8999999999999999,0.9014353613212527,0.8999999999999999,0.9000828370069696
HOG-GLCM + SVM,2,3,202602,303203,4480,1120,10.0,scale,0.8881323475980308,0.9205357142857142,0.9205357142857142,0.9206795673479466,0.9205357142857142,0.9204637441132537
HOG-GLCM + SVM,2,4,202602,303204,4480,1120,10.0,scale,0.882449596020141,0.9116071428571428,0.911607142857143,0.91264104518333,0.911607142857143,0.9117687675167534
HOG-GLCM + SVM,2,5,202602,303205,4480,1120,10.0,scale,0.8890466861661928,0.9071428571428571,0.9071428571428571,0.9070864032225197,0.9071428571428571,0.9070233295576183
HOG-GLCM + SVM,3,1,202603,303301,4480,1120,10.0,scale,0.8863118728387102,0.9178571428571428,0.9178571428571428,0.9188085348691153,0.9178571428571428,0.9179819600797431
HOG-GLCM + SVM,3,2,202603,303302,4480,1120,10.0,0.0001,0.8870244142878013,0.9133928571428571,0.9133928571428571,0.9133280897559173,0.9133928571428571,0.9130885302738727
HOG-GLCM + SVM,3,3,202603,303303,4480,1120,10.0,scale,0.8878979688308344,0.9178571428571428,0.9178571428571427,0.9190186135419857,0.9178571428571427,0.9182251376257291
HOG-GLCM + SVM,3,4,202603,303304,4480,1120,10.0,0.0001,0.895469545566304,0.9125,0.9125000000000001,0.9121097767465196,0.9125000000000001,0.9118738206496335
HOG-GLCM + SVM,3,5,202603,303305,4480,1120,10.0,scale,0.8855535213191242,0.9071428571428571,0.9071428571428571,0.9080543086051053,0.9071428571428571,0.907235049540647
HOG-GLCM + SVM,4,1,202604,303401,4480,1120,10.0,scale,0.8866877135865696,0.9196428571428571,0.9196428571428572,0.9204852083043188,0.9196428571428572,0.9197401065963955
HOG-GLCM + SVM,4,2,202604,303402,4480,1120,10.0,scale,0.8898239928241699,0.9125,0.9125000000000001,0.9136959994079632,0.9125000000000001,0.9127151639600428
HOG-GLCM + SVM,4,3,202604,303403,4480,1120,10.0,0.0001,0.8917403634201762,0.9089285714285714,0.9089285714285714,0.9082319043667728,0.9089285714285714,0.9081351248516741
HOG-GLCM + SVM,4,4,202604,303404,4480,1120,10.0,scale,0.8853765162947586,0.9285714285714286,0.9285714285714286,0.928712346709637,0.9285714285714286,0.9285753098644988
HOG-GLCM + SVM,4,5,202604,303405,4480,1120,10.0,scale,0.8915179807166146,0.9080357142857143,0.9080357142857144,0.908172011205042,0.9080357142857144,0.9079845293417288
HOG-GLCM + SVM,5,1,202605,303501,4480,1120,10.0,scale,0.894384801417864,0.9017857142857143,0.9017857142857144,0.9032896582503714,0.9017857142857144,0.9022053780597497
HOG-GLCM + SVM,5,2,202605,303502,4480,1120,10.0,scale,0.8917470444068659,0.9142857142857143,0.9142857142857144,0.914504119098503,0.9142857142857144,0.9142301167969763
HOG-GLCM + SVM,5,3,202605,303503,4480,1120,10.0,scale,0.8885265497263766,0.9169642857142857,0.9169642857142858,0.9167821358539927,0.9169642857142858,0.9166774231857259
HOG-GLCM + SVM,5,4,202605,303504,4480,1120,10.0,scale,0.8859746678717434,0.91875,0.9187500000000001,0.9191151255201145,0.9187500000000001,0.9188012945790085
HOG-GLCM + SVM,5,5,202605,303505,4480,1120,10.0,scale,0.8903396263225248,0.9071428571428571,0.9071428571428573,0.9070094574834489,0.9071428571428573,0.9068221925982047
HOG-GLCM + SVM,6,1,202606,303601,4480,1120,10.0,scale,0.8870374079406825,0.9098214285714286,0.9098214285714286,0.9100166048672311,0.9098214285714286,0.9097233605866655
HOG-GLCM + SVM,6,2,202606,303602,4480,1120,10.0,scale,0.8869291023151291,0.9071428571428571,0.9071428571428571,0.9087375992299537,0.9071428571428571,0.9074333030135229
HOG-GLCM + SVM,6,3,202606,303603,4480,1120,10.0,scale,0.886319285943202,0.925,0.925,0.9254435569336232,0.925,0.9247562056057423
HOG-GLCM + SVM,6,4,202606,303604,4480,1120,10.0,scale,0.8903651486782086,0.9,0.9000000000000001,0.9012062576538383,0.9000000000000001,0.900230553918004
HOG-GLCM + SVM,6,5,202606,303605,4480,1120,10.0,scale,0.8919614382788467,0.9285714285714286,0.9285714285714286,0.9300013095132544,0.9285714285714286,0.9288384177998719
HOG-GLCM + SVM,7,1,202607,303701,4480,1120,10.0,scale,0.8838042162277602,0.9232142857142858,0.9232142857142858,0.9232071551005765,0.9232142857142858,0.9230393896373372
HOG-GLCM + SVM,7,2,202607,303702,4480,1120,10.0,scale,0.8942241938634478,0.8991071428571429,0.8991071428571429,0.8998806109205951,0.8991071428571429,0.8988050497281928
HOG-GLCM + SVM,7,3,202607,303703,4480,1120,10.0,scale,0.8922387686935952,0.9080357142857143,0.9080357142857143,0.9092688616830955,0.9080357142857143,0.9083267845306117
HOG-GLCM + SVM,7,4,202607,303704,4480,1120,10.0,scale,0.8939625985305333,0.9178571428571428,0.9178571428571429,0.9178303154384821,0.9178571428571429,0.9172461670328262
HOG-GLCM + SVM,7,5,202607,303705,4480,1120,10.0,scale,0.8888242854067275,0.9196428571428571,0.9196428571428572,0.9203136083035652,0.9196428571428572,0.9195299717462284
HOG-GLCM + SVM,8,1,202608,303801,4480,1120,10.0,scale,0.8861504994891596,0.9232142857142858,0.9232142857142858,0.9241815075541491,0.9232142857142858,0.9232826477918469
HOG-GLCM + SVM,8,2,202608,303802,4480,1120,10.0,0.0001,0.8877730960886835,0.9169642857142857,0.9169642857142857,0.9171855937361748,0.9169642857142857,0.9170348088761909
HOG-GLCM + SVM,8,3,202608,303803,4480,1120,10.0,scale,0.894591180683157,0.9116071428571428,0.9116071428571428,0.9113906699031841,0.9116071428571428,0.9113175383971057
HOG-GLCM + SVM,8,4,202608,303804,4480,1120,10.0,scale,0.887644706278152,0.9080357142857143,0.9080357142857143,0.9091304282193446,0.9080357142857143,0.9075412838846246
HOG-GLCM + SVM,8,5,202608,303805,4480,1120,10.0,scale,0.8913787032670738,0.9142857142857143,0.9142857142857143,0.9165708234526739,0.9142857142857143,0.9148664140263678
HOG-GLCM + SVM,9,1,202609,303901,4480,1120,10.0,scale,0.8916936038361681,0.8982142857142857,0.8982142857142857,0.8984120265528525,0.8982142857142857,0.8978646011905775
HOG-GLCM + SVM,9,2,202609,303902,4480,1120,10.0,scale,0.8880176989525088,0.9107142857142857,0.9107142857142857,0.912890662346336,0.9107142857142857,0.9110201568396513
HOG-GLCM + SVM,9,3,202609,303903,4480,1120,10.0,scale,0.8890830719659796,0.9205357142857142,0.9205357142857142,0.9215581123931318,0.9205357142857142,0.9208589419947002
HOG-GLCM + SVM,9,4,202609,303904,4480,1120,10.0,scale,0.8908990148115746,0.9160714285714285,0.9160714285714286,0.9167119548726103,0.9160714285714286,0.9161060798941467
HOG-GLCM + SVM,9,5,202609,303905,4480,1120,10.0,scale,0.889485269241896,0.9214285714285714,0.9214285714285715,0.9215290344830744,0.9214285714285715,0.9210794239443172
HOG-GLCM + SVM,10,1,202610,304001,4480,1120,10.0,scale,0.8962066703165809,0.9035714285714286,0.9035714285714286,0.9034365634365634,0.9035714285714286,0.9032290227867527
HOG-GLCM + SVM,10,2,202610,304002,4480,1120,10.0,scale,0.8913682724344745,0.9160714285714285,0.9160714285714286,0.9160695934990943,0.9160714285714286,0.9158810852423735
HOG-GLCM + SVM,10,3,202610,304003,4480,1120,10.0,scale,0.8890611146324695,0.9178571428571428,0.9178571428571429,0.9202004729915383,0.9178571428571429,0.9185082506499613
HOG-GLCM + SVM,10,4,202610,304004,4480,1120,10.0,scale,0.889226053149519,0.9133928571428571,0.9133928571428571,0.9135037504591107,0.9133928571428571,0.913325083938082
HOG-GLCM + SVM,10,5,202610,304005,4480,1120,10.0,scale,0.8921222241835766,0.925,0.925,0.9259869613839485,0.925,0.9250890341615525
