repeat,search_plus_refit_seconds,runtime_minutes,runtime_hours
1,12702.680208299993,211.7113368049999,3.5285222800833314
2,12235.892765000004,203.93154608333342,3.39885910138889
3,12002.36983570001,200.03949726166684,3.3339916210277805
4,12670.933930399973,211.1822321733329,3.5197038695555483
5,12205.883184099992,203.43138640166654,3.390523106694442
6,12435.748005000001,207.26246675000002,3.454374445833334
7,13059.255961799994,217.6542660299999,3.627571100499998
8,12356.921544100027,205.9486924016671,3.432478206694452
9,11793.850443000003,196.56417405000005,3.276069567500001
10,11775.354070399975,196.25590117333292,3.2709316862222155
