mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
85.60992248853047,0.24168251364154808,0.8060433069864908,0.0051312279920797,800,2,2,log2,,entropy,False,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None, 'criterion': 'entropy', 'bootstrap': False}",0.819820100805633,0.8222811230015805,0.8109139897893358,0.8176717378655164,0.004882931282066723,65
1817.0888466835022,8.170825555699498,0.5511670112609863,0.026755424719289198,800,10,2,0.05,40,entropy,False,"{'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.05, 'max_depth': 40, 'criterion': 'entropy', 'bootstrap': False}",0.845514829677353,0.8345908484015093,0.8337387603074975,0.8379481461287867,0.005361749619486684,9
394.12076807022095,6.147008196589911,0.19997533162434897,0.006579665112191763,300,5,4,0.05,40,entropy,True,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 0.05, 'max_depth': 40, 'criterion': 'entropy', 'bootstrap': True}",0.8347450137450951,0.817132367783615,0.8194955260341186,0.8237909691876096,0.007805530020644136,50
2537.289470354716,4.510582421435474,0.3631911277770996,0.012403636250280821,500,2,2,0.1,20,entropy,False,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.1, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': False}",0.8444426298729244,0.8335217697143779,0.8314739999360063,0.8364794665077695,0.0056925283399330475,13
345.18563954035443,43.55158715658741,0.2666753927866618,0.02598665411060578,300,10,2,0.02,60,entropy,False,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.02, 'max_depth': 60, 'criterion': 'entropy', 'bootstrap': False}",0.8362498124246183,0.838873998392001,0.8316291592899013,0.8355843233688401,0.0029948934501190013,15
478.9564043680827,28.929334318173144,0.1814579963684082,0.010456215183060108,300,20,8,0.1,60,gini,True,"{'n_estimators': 300, 'min_samples_split': 20, 'min_samples_leaf': 8, 'max_features': 0.1, 'max_depth': 60, 'criterion': 'gini', 'bootstrap': True}",0.813994382947403,0.8124832856227397,0.8046030148776167,0.8103602278159198,0.004117440903755229,83
2684.618409792582,51.193807538133086,0.5757745901743571,0.007562066807532632,800,2,1,0.1,40,entropy,True,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.1, 'max_depth': 40, 'criterion': 'entropy', 'bootstrap': True}",0.8388867541852078,0.8184514066420372,0.8205032963385833,0.8259471523886095,0.009187946227625123,40
19.049861272176106,0.28148581150307916,0.27292943000793457,0.015820653542243365,300,5,2,log2,60,gini,False,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 60, 'criterion': 'gini', 'bootstrap': False}",0.8154700510266226,0.818517159769819,0.8054166098282748,0.8131346068749054,0.005597429572703635,80
49.566325743993126,0.7796572996847533,0.6280878384908041,0.008705585420284389,800,10,2,log2,40,gini,False,"{'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 40, 'criterion': 'gini', 'bootstrap': False}",0.8109909700388057,0.821178252811415,0.8105741526825718,0.8142477918442642,0.004903529415296373,75
6951.576847871144,77.01026270092737,0.512276808420817,0.07704703312926013,800,2,8,0.2,60,entropy,False,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 0.2, 'max_depth': 60, 'criterion': 'entropy', 'bootstrap': False}",0.8342310156221061,0.8185171397240363,0.8222976286259865,0.825015261324043,0.006696796226362976,44
1130.4841459592183,101.03417818974017,0.4557698567708333,0.05872105547938543,800,2,2,0.05,60,entropy,True,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.05, 'max_depth': 60, 'criterion': 'entropy', 'bootstrap': True}",0.8365095364581892,0.8244436796618946,0.8255271197949965,0.82882677863836,0.00545050679106158,30
24.350141048431396,1.2318190385320615,0.28830353418986004,0.036681925883737566,300,2,2,log2,60,entropy,True,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 60, 'criterion': 'entropy', 'bootstrap': True}",0.7973919537840518,0.7956948726586031,0.7860575397496549,0.7930481220641031,0.004991406074971757,95
439.7596070766449,0.811375250815158,0.48802987734476727,0.007817597125413647,800,2,2,sqrt,20,entropy,False,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': False}",0.8427425601338583,0.8383976918757234,0.8296127224949799,0.8369176581681872,0.005461442662728702,12
42.74780011177063,0.17995038694989224,0.4587377707163493,0.0202114292838525,800,20,1,log2,,entropy,True,"{'n_estimators': 800, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None, 'criterion': 'entropy', 'bootstrap': True}",0.7942193174167176,0.7971888056374004,0.7861567404600578,0.7925216211713919,0.004661061747808702,97
