iter,n_resources,rank_test_score,candidate_id,mean_test_score,std_test_score,total_fit_seconds,inner_folds_completed,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
2,225,1,39,0.9054264560323225,0.006731221094178126,215.5269966000924,3,entropy,,2,2,0.2,False
2,225,2,84,0.9050192083475525,0.006531331275411701,111.37516569998115,3,entropy,60.0,5,2,0.1,False
2,225,3,95,0.9040249744258277,0.006088005130154028,108.57808930007741,3,entropy,80.0,10,4,0.1,False
2,225,4,17,0.9033121538253747,0.0047969788983631394,58.507511199917644,3,entropy,40.0,5,2,0.05,False
2,225,5,70,0.9023288237880641,0.005105158345704739,111.65216360008344,3,entropy,60.0,10,2,0.1,False
2,225,6,38,0.9020550618570292,0.007851313811437574,37.51786260004155,3,gini,40.0,5,2,0.05,False
2,225,7,18,0.9012453290400453,0.008285427853819893,138.930874499958,3,gini,20.0,2,4,0.2,False
2,225,8,75,0.898516902248185,0.004947548892489383,55.69848650007043,3,entropy,20.0,10,4,0.05,False
2,225,9,85,0.8982006682067496,0.0066330721107041605,212.44653860013932,3,entropy,,20,2,0.2,False
2,225,10,10,0.897842938455872,0.006711495051260685,18.394523299997672,3,gini,80.0,5,1,sqrt,False
2,225,11,87,0.8960831124499338,0.00922656576859559,103.92718310002238,3,entropy,,2,8,0.1,False
2,225,12,43,0.8952624484315846,0.006670554016768229,103.45386300003156,3,entropy,20.0,20,8,0.1,False
