iter,n_resources,rank_test_score,candidate_id,mean_test_score,std_test_score,total_fit_seconds,inner_folds_completed,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
0,25,1,85,0.8921070626776277,0.010151695941599884,10.13940820004791,3,gini,60.0,10,1,0.1,False
0,25,2,21,0.887277045156865,0.007690691975524955,13.821270700078458,3,entropy,60.0,10,4,0.1,False
0,25,3,45,0.8871773868567364,0.0011390117093604114,13.922140299808234,3,entropy,60.0,2,1,0.1,False
0,25,4,98,0.8866298819227832,0.003840407877821216,17.656186899985187,3,gini,40.0,20,4,0.2,False
0,25,5,53,0.8836834432372273,0.002997721669515773,15.720792899955995,3,gini,20.0,20,8,0.2,False
0,25,6,3,0.8830482117408801,0.005603290423494939,17.929051599930972,3,gini,80.0,10,4,0.2,False
0,25,7,29,0.8829286485230815,0.010381539321025441,12.993369500152767,3,entropy,60.0,2,8,0.1,False
0,25,8,44,0.8829286485230815,0.010381539321025441,12.873498600092717,3,entropy,80.0,10,8,0.1,False
0,25,9,88,0.8829286485230815,0.010381539321025441,12.675969499978237,3,entropy,,5,8,0.1,False
0,25,10,19,0.882685932204396,0.0006302066854237096,19.039786500041373,3,gini,80.0,5,2,0.2,False
0,25,11,16,0.882640798892961,0.011716752915592824,9.741085799993016,3,gini,,2,2,0.1,False
0,25,12,97,0.8822630184684929,0.010780427388061944,14.219714700011536,3,entropy,60.0,5,1,0.1,False
0,25,13,32,0.882114289086752,0.007950526841322605,27.55042769992724,3,entropy,60.0,10,2,0.2,False
0,25,14,49,0.8814804988325328,0.004110161404737354,4.81595660012681,3,gini,80.0,5,4,0.05,False
0,25,15,33,0.8810297305032627,0.008233157465839547,9.763454600120895,3,gini,40.0,20,2,0.1,False
0,25,16,84,0.880673971265447,0.006743019083374334,3.316708100028336,3,entropy,,5,2,0.02,False
0,25,17,43,0.8804945003667143,0.004883530703752226,6.998761699884199,3,entropy,,10,8,0.05,False
0,25,18,63,0.8804945003667143,0.004883530703752226,7.015263100038283,3,entropy,20.0,10,8,0.05,False
0,25,19,51,0.8803255252631281,0.002146708350112937,8.379304699948989,3,gini,60.0,2,8,0.1,False
0,25,20,25,0.8799678407723311,0.008016215913084948,16.195083599886857,3,entropy,20.0,2,4,0.2,True
0,25,21,77,0.8791915435532408,0.001520008249344414,4.708391600172035,3,gini,60.0,10,4,0.05,False
0,25,22,76,0.8788989751465612,0.005850742627076971,2.5485194999491796,3,gini,,20,1,sqrt,False
0,25,23,55,0.8788759043617701,0.001213180543448031,26.49882710003294,3,entropy,60.0,5,4,0.2,False
0,25,24,64,0.8782775976011944,0.0041719650096454005,11.306810000096448,3,gini,40.0,5,2,0.2,True
0,25,25,46,0.8767197266992651,0.004474519307240569,3.3711524000391364,3,entropy,20.0,2,1,0.02,False
0,25,26,36,0.8761020334787522,0.0073429493072880835,16.585320500074886,3,entropy,40.0,5,2,0.2,True
0,25,27,79,0.876014208906481,0.002141045205402422,2.482081800000742,3,gini,40.0,2,1,0.02,False
0,25,28,47,0.8758535729532766,0.001895808183152045,3.0416143998736516,3,entropy,,20,8,0.02,False
0,25,29,89,0.8755980345862607,0.005509159567367872,3.123693000059575,3,entropy,40.0,2,4,0.02,False
0,25,30,39,0.8755534555828842,0.004460209561011906,2.3190244000870734,3,gini,,20,4,sqrt,False
0,25,31,38,0.8746454197879151,0.007074083153793339,8.67249690007884,3,entropy,,5,2,0.1,True
0,25,32,62,0.8742526860915936,0.0017015469601584824,16.078717299969867,3,entropy,,20,2,0.2,True
0,25,33,72,0.8742526860915936,0.0017015469601584824,16.193657000083476,3,entropy,20.0,20,2,0.2,True
0,25,34,70,0.8734547536000427,0.005448910761240819,3.342883000150323,3,entropy,80.0,10,2,0.02,False
