candidate_id,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
1,entropy,,10,2,0.1,False
2,entropy,,10,4,0.1,False
3,gini,20.0,20,4,0.1,True
4,gini,20.0,10,8,0.1,True
5,entropy,60.0,2,2,0.1,False
6,entropy,,20,4,0.2,True
7,entropy,80.0,20,2,log2,False
8,entropy,40.0,10,1,0.05,False
9,gini,80.0,20,8,0.05,False
10,gini,80.0,5,8,0.02,True
11,entropy,60.0,5,2,0.1,True
12,entropy,60.0,2,1,0.1,True
13,gini,,10,8,0.02,True
14,entropy,,10,4,0.05,False
15,entropy,20.0,20,1,sqrt,False
16,entropy,60.0,2,2,log2,False
17,gini,40.0,2,1,0.05,True
18,gini,40.0,10,1,0.05,True
19,entropy,20.0,5,8,0.02,False
20,entropy,80.0,5,4,log2,False
21,entropy,20.0,10,8,0.02,True
22,gini,60.0,10,1,sqrt,True
23,entropy,,20,1,0.02,False
24,entropy,40.0,5,2,0.2,True
25,entropy,80.0,20,4,log2,True
26,gini,60.0,20,1,0.05,False
27,gini,80.0,2,1,0.2,True
28,entropy,40.0,10,4,0.1,True
29,entropy,60.0,2,4,0.02,False
30,entropy,60.0,5,4,0.1,True
31,gini,60.0,2,1,0.1,False
32,entropy,40.0,10,2,0.05,True
33,gini,60.0,2,1,0.02,True
34,entropy,20.0,5,2,log2,False
35,entropy,80.0,10,4,0.02,True
36,gini,40.0,2,2,log2,True
37,entropy,60.0,5,2,log2,False
38,gini,40.0,10,8,0.1,True
39,gini,80.0,2,8,0.02,True
40,gini,80.0,5,1,0.1,True
41,entropy,60.0,20,4,0.05,True
42,gini,40.0,5,8,log2,False
43,entropy,80.0,5,1,0.05,True
44,entropy,20.0,10,4,0.1,False
45,entropy,40.0,5,4,sqrt,True
46,entropy,,20,4,log2,True
47,gini,20.0,10,1,0.05,True
48,entropy,,20,1,0.1,False
49,entropy,80.0,5,1,0.02,True
50,entropy,80.0,2,1,0.02,False
51,gini,80.0,5,1,0.02,True
52,gini,60.0,5,1,sqrt,True
53,entropy,20.0,10,4,log2,False
54,entropy,80.0,5,1,0.1,True
55,entropy,80.0,10,1,0.1,False
56,gini,,10,8,0.1,True
57,entropy,80.0,5,2,0.1,False
58,entropy,20.0,20,2,0.05,True
59,entropy,20.0,20,4,0.02,False
60,gini,60.0,20,2,0.02,False
61,entropy,60.0,10,1,sqrt,False
62,entropy,20.0,10,8,0.2,False
63,entropy,20.0,2,1,log2,True
64,gini,40.0,2,4,log2,False
65,gini,,2,4,0.2,True
66,entropy,,2,1,log2,False
67,entropy,80.0,20,2,0.02,True
68,gini,60.0,5,2,0.1,False
69,entropy,20.0,2,8,0.02,False
70,entropy,60.0,10,8,0.05,True
71,entropy,40.0,10,8,log2,True
72,entropy,80.0,5,1,log2,True
73,entropy,,2,2,log2,True
74,entropy,,2,2,sqrt,False
75,entropy,20.0,10,2,0.1,False
76,entropy,80.0,5,4,0.1,False
77,gini,,2,8,sqrt,False
78,entropy,20.0,2,1,log2,False
79,entropy,20.0,5,8,0.05,False
80,entropy,60.0,2,2,0.1,True
81,entropy,,5,2,sqrt,False
82,entropy,60.0,20,1,log2,False
83,gini,20.0,2,1,log2,False
84,entropy,,20,2,sqrt,True
85,gini,80.0,20,2,log2,False
86,gini,,20,2,0.05,False
87,entropy,,2,1,0.02,True
88,gini,20.0,20,1,0.2,True
89,entropy,80.0,2,4,0.05,True
90,gini,60.0,20,1,0.02,True
91,entropy,60.0,2,2,0.05,False
92,gini,20.0,5,1,0.1,True
93,gini,40.0,5,4,0.02,True
94,gini,60.0,5,4,0.05,False
95,entropy,80.0,20,4,0.2,False
96,gini,20.0,20,1,0.1,True
97,entropy,60.0,5,4,0.02,False
98,entropy,60.0,2,1,0.2,True
99,gini,60.0,5,8,0.1,True
100,entropy,40.0,20,1,0.02,False
